iter	RMSE
388	171.0998353
389	171.0052919
390	170.9541849
391	170.9062925
392	170.8522926
393	170.7901771
394	170.7141662
395	170.6432883
396	170.5842651
397	170.5403262
398	170.4418948
399	170.4136461
400	170.3672916
401	170.268975
402	170.2140467
403	170.1497833
404	170.0654971
405	170.035364
406	169.9803135
407	169.9221009
408	169.803726
409	169.764625
410	169.6684617
411	169.5942935
412	169.5021553
413	169.4114076
414	169.3541808
415	169.2846668
416	169.2416829
417	169.185371
418	169.1428227
419	169.1006303
420	169.067418
421	169.011977
422	168.9632293
423	168.9345833
424	168.9035613
425	168.8747214
426	168.8111642
427	168.7278099
428	168.64221
429	168.568254
430	168.5154167
431	168.4791415
432	168.440995
433	168.3953837
434	168.3390542
435	168.2807675
436	168.2070332
437	168.1189071
438	168.0814857
439	167.9981381
440	167.9673465
441	167.8810745
442	167.8245309
443	167.7887714
444	167.7563591
445	167.6949298
446	167.6325935
447	167.5791469
448	167.5323949
449	167.4777141
450	167.4570667
451	167.3898865
452	167.3705829
453	167.2914966
454	167.2654351
455	167.2024359
456	167.1675043
457	167.1350833
458	167.1119762
459	167.0356596
460	166.9957914
461	166.9494358
462	166.9058985
463	166.8459819
464	166.8236849
465	166.7929492
466	166.7667637
467	166.7302573
468	166.693528
469	166.6163773
470	166.5771676
471	166.5553939
472	166.4767192
473	166.379833
474	166.3395696
475	166.2861711
476	166.216701
477	166.1366534
478	166.0858743
479	165.9949913
480	165.9531031
481	165.9173222
482	165.8810991
483	165.8199888
484	165.7437894
485	165.7031299
486	165.662048
487	165.6003159
488	165.5391838
489	165.4931274
490	165.4253317
491	165.3880657
492	165.3233686
493	165.2916998
494	165.2436576
495	165.1449617
496	165.0412872
497	165.0092271
498	164.9724915
499	164.9210375
500	164.8864575
501	164.8494567
502	164.8155046
503	164.7620803
504	164.7171202
505	164.6568417
506	164.6179525
507	164.5963455
508	164.5098326
509	164.4199333
510	164.379814
511	164.2969295
512	164.2306989
513	164.1880449
514	164.0926682
515	164.0405393
516	163.9864134
517	163.9270787
518	163.8716641
519	163.752728
520	163.6956553
521	163.6125005
522	163.5482942
523	163.503683
524	163.4140053
525	163.3458762
526	163.2922769
527	163.2136685
528	163.1678084
529	163.1388464
530	163.1012077
531	163.0412601
532	162.9804413
533	162.9173587
534	162.8797725
535	162.856259
536	162.7815989
537	162.7525328
538	162.6896382
539	162.6191013
540	162.5712424
541	162.5521156
542	162.5305115
543	162.4448856
544	162.4034345
545	162.3479182
546	162.2630603
547	162.1798578
548	162.1129087
549	162.0768105
550	162.0134058
551	161.9586396
552	161.9238753
553	161.8404965
554	161.8051719
555	161.7476927
556	161.6693567
557	161.6168591
558	161.5562429
559	161.5071959
560	161.4384946
561	161.3726724
562	161.324263
563	161.2779088
564	161.2148113
565	161.1456185
566	161.0881322
567	161.0549116
568	161.031865
569	160.9872897
570	160.9642521
571	160.9085931
572	160.8884842
573	160.8546634
574	160.7806424
575	160.7203688
576	160.6718682
577	160.6289538
578	160.5883876
579	160.5467759
580	160.4961077
581	160.4341818
582	160.4009445
583	160.3650857
584	160.3387974
585	160.2793335
586	160.2416831
587	160.166833
588	160.0712353
589	160.042825
590	159.9950375
591	159.9252339
592	159.8192766
593	159.756285
594	159.7250509
595	159.6511741
596	159.6194698
597	159.5965667
598	159.537447
599	159.4957265
600	159.427629
601	159.379584
602	159.3435525
603	159.3149458
604	159.292793
605	159.2712698
606	159.2119722
607	159.1478065
608	159.1044614
609	159.054078
610	159.0337168
611	158.9843572
612	158.9199033
613	158.857764
614	158.7947051
615	158.7193595
616	158.6528841
617	158.6238193
618	158.5880904
619	158.5297243
620	158.4809829
621	158.427944
622	158.3915472
623	158.3661086
624	158.3250381
625	158.2850662
626	158.2452634
627	158.208712
628	158.1867514
629	158.1270247
630	158.0822152
631	158.0497639
632	158.0213241
633	157.9801842
634	157.9228195
635	157.8693287
636	157.7837297
637	157.7427008
638	157.7256202
639	157.6522112
640	157.5683721
641	157.5415879
642	157.4986064
643	157.4613539
644	157.428666
645	157.3954205
646	157.3743476
647	157.3254424
648	157.2861489
649	157.2586517
650	157.1893685
651	157.1519373
652	157.1091585
653	157.0763596
654	156.9805849
655	156.9273526
656	156.8989887
657	156.8218065
658	156.7817098
659	156.7247949
660	156.6575761
661	156.6287147
662	156.6124893
663	156.554718
664	156.4991331
665	156.4434855
666	156.4171712
667	156.3761989
668	156.311513
669	156.2428549
670	156.2140106
671	156.1843854
672	156.1556485
673	156.0827048
674	156.0546692
675	156.0129147
676	155.9586746
677	155.9303908
678	155.9012734
679	155.8597975
680	155.8219174
681	155.76958
682	155.7127048
683	155.6469693
684	155.5999712
685	155.5391587
686	155.50744
687	155.4488135
688	155.3975811
689	155.3454384
690	155.2598197
691	155.2324188
692	155.1774279
693	155.0889768
694	155.0501107
695	154.9865909
696	154.9709653
697	154.9021087
698	154.8651804
699	154.8137549
700	154.7710122
701	154.6973733
702	154.6356687
703	154.5945047
704	154.532194
705	154.5001171
706	154.466046
707	154.4121912
708	154.3541616
709	154.3171942
710	154.2945763
711	154.2622032
712	154.22575
713	154.2056199
714	154.169475
715	154.1349716
716	154.0999741
717	154.066966
718	154.0053978
719	153.9725579
720	153.9318295
721	153.8965287
722	153.8164735
723	153.7584054
724	153.6806572
725	153.6612524
726	153.6224667
727	153.5693461
728	153.4937527
729	153.4516595
730	153.4298885
731	153.3809672
732	153.3383688
733	153.3181999
734	153.2900834
735	153.2687824
736	153.2525122
737	153.1947883
738	153.1733584
739	153.1360189
740	153.1148828
741	153.074685
742	153.0024959
743	152.9477159
744	152.9053973
745	152.8525409
746	152.8034419
747	152.7505335
748	152.7216476
749	152.6753033
750	152.614512
751	152.5615313
752	152.5061636
753	152.4753714
754	152.4328863
755	152.3967258
756	152.3495809
757	152.3245982
758	152.2899953
759	152.2491615
760	152.2204558
761	152.1871873
762	152.1737667
763	152.110763
764	152.0627802
765	152.0406493
766	151.9909658
767	151.944857
768	151.9197246
769	151.8867719
770	151.8261603
771	151.7973666
772	151.7533243
773	151.707937
774	151.6623763
775	151.6170731
776	151.5763189
777	151.54475
778	151.5111969
779	151.4781981
780	151.4355441
781	151.4006469
782	151.3744952
783	151.3307292
784	151.2407439
785	151.2211342
786	151.1696101
787	151.1339753
788	151.0950315
789	151.0675218
790	151.0345814
791	151.0018803
792	150.9717634
793	150.9481353
794	150.9061529
795	150.8528985
796	150.8109509
797	150.7769939
798	150.7614056
799	150.7308752
800	150.7015811
801	150.6826274
802	150.6247522
803	150.6080364
804	150.5431088
805	150.5262073
806	150.5018472
807	150.4610153
808	150.4245479
809	150.3769015
810	150.3523729
811	150.31448
812	150.2799919
813	150.2534699
814	150.177041
815	150.1510626
816	150.11171
817	150.0638528
818	150.0393454
819	150.0185988
820	149.9819111
821	149.9446553
822	149.9191813
823	149.8836815
824	149.845055
825	149.8043498
826	149.7747528
827	149.762723
828	149.7194457
829	149.6884614
830	149.6437486
831	149.6180813
832	149.5894335
833	149.5272988
834	149.4726986
835	149.3921495
836	149.376325
837	149.3315585
838	149.2953483
839	149.2713358
840	149.2499007
841	149.227491
842	149.1932108
843	149.1099897
844	149.0579829
845	149.0162972
846	148.969488
847	148.9431108
848	148.9116859
849	148.8793139
850	148.8291831
851	148.8062008
852	148.772214
853	148.7486999
854	148.7057088
855	148.6832405
856	148.6598294
857	148.609761
858	148.5315923
859	148.5029765
860	148.4795043
861	148.4496199
862	148.4237113
863	148.3655308
864	148.3298325
865	148.311968
866	148.2762097
867	148.2621207
868	148.2390946
869	148.198273
870	148.1685545
871	148.0973487
872	148.0112085
873	147.9802593
874	147.9395079
875	147.8611127
876	147.8065032
877	147.7909547
878	147.7596313
879	147.724414
880	147.6835253
881	147.6425548
882	147.6231563
883	147.5861433
884	147.5541333
885	147.5369081
886	147.5117677
887	147.4821718
888	147.4325497
889	147.3876732
890	147.3559237
891	147.316099
892	147.2753286
893	147.226869
894	147.2135972
895	147.1511865
896	147.116506
897	147.0803908
898	147.0637521
899	146.982122
900	146.9065186
901	146.8867152
902	146.8694305
903	146.7978914
904	146.7665687
905	146.7137437
906	146.6460122
907	146.6284395
908	146.600689
909	146.5788689
910	146.5481346
911	146.5155804
912	146.4864956
913	146.4328161
914	146.3890717
915	146.3587186
916	146.340015
917	146.301884
918	146.2619068
919	146.2346925
920	146.1983553
921	146.1651214
922	146.1052535
923	146.0814676
924	146.0635354
925	145.9862194
926	145.9474755
927	145.9033133
928	145.8794699
929	145.8255199
930	145.7994501
931	145.7727365
932	145.744655
933	145.68972
934	145.6424635
935	145.5805381
936	145.5392069
937	145.5001424
938	145.4753073
939	145.4232494
940	145.3916623
941	145.3628979
942	145.3339977
943	145.3027121
944	145.2661813
945	145.2240503
946	145.2072759
947	145.1829838
948	145.1514483
949	145.1131529
950	145.0831452
951	145.0350287
952	145.0119401
953	144.9714399
954	144.949153
955	144.9039906
956	144.870354
957	144.8497126
958	144.8257085
959	144.7526043
960	144.6957764
961	144.6694393
962	144.6467835
963	144.6286121
964	144.6050532
965	144.5662801
966	144.5360168
967	144.4861065
968	144.4428911
969	144.4130718
970	144.3626875
971	144.3213227
972	144.2944658
973	144.2590077
974	144.2246835
975	144.1890955
976	144.1504087
977	144.1371416
978	144.0916733
979	144.0412665
980	144.0145112
981	143.9692656
982	143.8955806
983	143.8677206
984	143.8189159
985	143.7888883
986	143.7358476
987	143.7101606
988	143.6616325
989	143.6383539
990	143.6000826
991	143.5443429
992	143.5073354
993	143.4612875
994	143.4312186
995	143.3975185
996	143.3667162
997	143.3193863
998	143.2847955
999	143.2651489
